ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
103603516;10019975;192077590;0;Hofstattstrasse;3b;residential;;6377 Seelisberg;1215;Seelisberg;UR;planned;true;04.06.2025;2687205.979;1203709.225
103603593;10066804;9035104;1;Konradshalde;2a;residential;;8832 Wilen b. Wollerau;1322;Freienbach;SZ;real;true;05.05.2025;2698261.56;1228147.979
103603638;10052941;192077696;0;Rue de la Prairie;9a;special;;2854 Bassecourt;6729;Haute-Sorne;JU;real;true;15.02.2025;2585889.311;1242997.337
103603617;10238660;192077675;0;Route de Mervelier;1a;special;;2828 Montsevelier;6730;Val Terbi;JU;real;false;06.04.2025;2605189.595;1245505.176
103603537;10053992;192077611;0;La Maîcheratte;9c;special;;2826 Corban;6730;Val Terbi;JU;real;true;06.04.2025;2602182.557;1245931.088
103603613;10153803;192077671;0;Les Cerisiers;5b;special;;2828 Montsevelier;6730;Val Terbi;JU;real;false;06.04.2025;2605113.129;1245747.548
103603588;10099582;192077648;0;La Montbiaidge;1a;non_residential;;2902 Fontenais;6790;Fontenais;JU;planned;true;11.12.2024;2572960.75;1250202.625
103603508;10186740;192077582;0;Dos Commenray;35;special;;2826 Corban;6730;Val Terbi;JU;real;true;11.12.2024;2602547.075;1244741.195
103603604;10100261;192077663;0;La Creste;27;special;;2828 Montsevelier;6730;Val Terbi;JU;real;true;11.12.2024;2605027.966;1245759.489
100937306;10039463;1738580;0;Haldenweg;12;residential;;7000 Chur;3901;Chur;GR;real;false;15.02.2025;2759906.44;1190976.282
102628910;10246324;191881551;0;Lamärsweg;23;non_residential;;7026 Maladers;3901;Chur;GR;real;false;15.02.2025;2762664.314;1191232.324
100946976;10176260;1739437;0;Im Baumgarten;8;residential;;7000 Chur;3901;Chur;GR;real;false;15.02.2025;2758341.732;1191074.503
100744377;10038837;1211117;0;Süesswinggel;8;residential;;7023 Haldenstein;3901;Chur;GR;real;false;15.02.2025;2759133.204;1194189.07
100945646;10176265;1741119;0;Rheinstrasse;67;residential;;7000 Chur;3901;Chur;GR;real;false;15.02.2025;2758826.337;1191419.3
102630480;10078358;191882683;0;Tumma;12a;non_residential;;7026 Maladers;3901;Chur;GR;real;false;15.02.2025;2761078.416;1189612.842
