i,j,score,name_score,addr_score,reason
448,28996,90.0,100.0,9.75609756097561,exact_normal
448,28996,90.0,100.0,9.75609756097561,exact_normal
448,28996,90.0,100.0,9.75609756097561,exact_normal
924,39997,93.33333333333333,100.0,64.63414634146342,exact_normal
924,39997,93.33333333333333,100.0,64.63414634146342,exact_normal
924,39997,93.33333333333333,100.0,64.63414634146342,exact_normal
1104,41438,90.0,100.0,11.428571428571429,exact_normal
1104,41438,90.0,100.0,11.428571428571429,exact_normal
1104,41438,90.0,100.0,11.428571428571429,exact_normal
1840,5966,90.0,100.0,8.974358974358973,exact_normal
1840,5966,90.0,100.0,8.974358974358973,exact_normal
1840,5966,90.0,100.0,8.974358974358973,exact_normal
2122,6125,90.0,100.0,10.27027027027027,exact_normal
39540,41202,90.0,100.0,16.666666666666668,exact_normal
39540,41202,90.0,100.0,16.666666666666668,exact_normal
39540,41202,90.0,100.0,16.666666666666668,exact_normal
2624,26121,93.33333333333333,100.0,21.375,exact_normal
2624,26121,93.33333333333333,100.0,21.375,exact_normal
2624,26121,93.33333333333333,100.0,21.375,exact_normal
2623,46925,93.33333333333333,100.0,44.35483870967742,exact_normal
2623,46925,93.33333333333333,100.0,44.35483870967742,exact_normal
2623,46925,93.33333333333333,100.0,44.35483870967742,exact_normal
2689,38959,90.0,100.0,15.384615384615385,exact_normal
2689,38959,90.0,100.0,15.384615384615385,exact_normal
2689,38959,90.0,100.0,15.384615384615385,exact_normal
2967,41313,90.0,100.0,15.0,exact_normal
2967,41313,90.0,100.0,15.0,exact_normal
2967,41313,90.0,100.0,15.0,exact_normal
3131,14007,90.0,100.0,11.428571428571429,exact_normal
3131,14007,90.0,100.0,11.428571428571429,exact_normal
3131,14007,90.0,100.0,11.428571428571429,exact_normal
3806,31532,90.0,100.0,14.777777777777777,exact_normal
3806,31532,90.0,100.0,14.777777777777777,exact_normal
3806,31532,90.0,100.0,14.777777777777777,exact_normal
4213,8201,90.0,100.0,10.9375,exact_normal
4213,8201,90.0,100.0,10.9375,exact_normal
4213,8201,90.0,100.0,10.9375,exact_normal
4721,40668,90.0,100.0,19.11764705882353,exact_normal
4721,40668,90.0,100.0,19.11764705882353,exact_normal
4721,40668,90.0,100.0,19.11764705882353,exact_normal
5973,44273,90.0,100.0,18.75,exact_normal
5973,44273,90.0,100.0,18.75,exact_normal
5973,44273,90.0,100.0,18.75,exact_normal
7099,37050,90.0,100.0,13.571428571428571,exact_normal
7099,37050,90.0,100.0,13.571428571428571,exact_normal
7099,37050,90.0,100.0,13.571428571428571,exact_normal
8325,22639,90.0,100.0,16.666666666666668,exact_normal
8325,22639,90.0,100.0,16.666666666666668,exact_normal
8325,22639,90.0,100.0,16.666666666666668,exact_normal
8550,12287,90.0,100.0,9.375,exact_normal
8550,12287,90.0,100.0,9.375,exact_normal
8550,12287,90.0,100.0,9.375,exact_normal
10349,45175,90.0,100.0,10.0,exact_normal
10349,45175,90.0,100.0,10.0,exact_normal
10349,45175,90.0,100.0,10.0,exact_normal
10803,30559,90.0,100.0,8.928571428571427,exact_normal
10803,30559,90.0,100.0,8.928571428571427,exact_normal
10803,30559,90.0,100.0,8.928571428571427,exact_normal
11368,11369,77.72727272727272,95.45454545454545,100.0,fuzzy_normal
11447,11609,90.0,100.0,8.142857142857144,exact_normal
11447,11609,90.0,100.0,8.142857142857144,exact_normal
11447,11609,90.0,100.0,8.142857142857144,exact_normal
11487,11488,90.0,100.0,12.121212121212121,exact_normal
11487,11488,90.0,100.0,12.121212121212121,exact_normal
11487,11488,90.0,100.0,12.121212121212121,exact_normal
12384,26498,90.0,100.0,9.67741935483871,exact_normal
12384,26498,90.0,100.0,9.67741935483871,exact_normal
12384,26498,90.0,100.0,9.67741935483871,exact_normal
12639,16961,77.22222222222223,94.44444444444444,100.0,fuzzy_normal
12684,22405,93.33333333333333,100.0,34.72222222222222,exact_normal
