index,Crefo,Strasse_raw,HausNummer_raw,Plz_raw,Ort_raw,street_norm,house_norm,plz4_used,ort_norm,swis_match_type,swis_changed,swis_adr_egaid,swis_bdg_egid,swis_street_ref,swis_house_ref,swis_plz4_ref,swis_ort_ref
471,422067678,Winkelwiese,10,8001,Zürich,winkelwiese,10,8001,zuerich,strict,False,100117235,140517,Winkelwiese,10,8001,Zürich
472,401948747,Torgasse,7,8001,Zürich,torgasse,7,8001,zuerich,strict,False,100117526,140444,Torgasse,7,8001,Zürich
473,427941030,Stüssihofstatt,7,8001,Zürich,stuessihofstatt,7,8001,zuerich,strict,False,101277718,3169213,Stüssihofstatt,7,8001,Zürich
474,427377291,Strehlgasse,17,8001,Zürich,strehlgasse,17,8001,zuerich,strict,False,100116655,140813,Strehlgasse,17,8001,Zürich
475,426925627,Storchengasse,12,8001,Zürich,storchengasse,12,8001,zuerich,strict,False,100116675,140831,Storchengasse,12,8001,Zürich
476,404506603,Spiegelgasse,29,8001,Zürich,spiegelgasse,29,8001,zuerich,strict,False,101706620,302040100,Spiegelgasse,29,8001,Zürich
477,424241728,Spiegelgasse,9,8001,Zürich,spiegelgasse,9,8001,zuerich,strict,False,100119510,140311,Spiegelgasse,9,8001,Zürich
478,427367239,Sihlhölzlistrasse,5,8001,Zürich,sihlhoelzlistrasse,5,8001,zuerich,strict,False,101726722,3169694,Sihlhölzlistrasse,5,8001,Zürich
479,428036640,Sihlhölzlistrasse,9,8001,Zürich,sihlhoelzlistrasse,9,8001,zuerich,strict,False,101726723,3169694,Sihlhölzlistrasse,9,8001,Zürich
480,426318634,Selnaustrasse,17,8001,Zürich,selnaustrasse,17,8001,zuerich,strict,False,101726718,3169694,Selnaustrasse,17,8001,Zürich
481,427133430,Selnaustrasse,17,8001,Zürich,selnaustrasse,17,8001,zuerich,strict,False,101726718,3169694,Selnaustrasse,17,8001,Zürich
482,426549283,Selnaustrasse,17,8001,Zürich,selnaustrasse,17,8001,zuerich,strict,False,101726718,3169694,Selnaustrasse,17,8001,Zürich
483,426913162,Schoffelgasse,8,8001,Zürich,schoffelgasse,8,8001,zuerich,strict,False,100121083,140360,Schoffelgasse,8,8001,Zürich
484,404762950,Rindermarkt,6,8001,Zürich,rindermarkt,6,8001,zuerich,strict,False,100119015,140254,Rindermarkt,6,8001,Zürich
485,426839109,Predigergasse,9,8001,Zürich,predigergasse,9,8001,zuerich,strict,False,100118973,140214,Predigergasse,9,8001,Zürich
486,420938465,Münstergasse,30,8001,Zürich,muenstergasse,30,8001,zuerich,strict,False,100120598,140308,Münstergasse,30,8001,Zürich
487,421356789,Limmatquai,88,8001,Zürich,limmatquai,88,8001,zuerich,strict,False,100119155,140094,Limmatquai,88,8001,Zürich
